id;data;data_content_type;upload_date
1;../fake-data/blob/hipster.png;image/png;2020-10-17
2;../fake-data/blob/hipster.png;image/png;2020-10-17
3;../fake-data/blob/hipster.png;image/png;2020-10-16
4;../fake-data/blob/hipster.png;image/png;2020-10-16
5;../fake-data/blob/hipster.png;image/png;2020-10-16
6;../fake-data/blob/hipster.png;image/png;2020-10-16
7;../fake-data/blob/hipster.png;image/png;2020-10-17
8;../fake-data/blob/hipster.png;image/png;2020-10-16
9;../fake-data/blob/hipster.png;image/png;2020-10-16
10;../fake-data/blob/hipster.png;image/png;2020-10-16
